matrikelnummer,startdate,exitdate,birthdate,surname
432476,25.07.1961,17.03.1964,10.06.1945,Moon
7572077,20.11.2020,25.09.2021,29.02.2000,Fowler
9411854,22.09.1998,28.12.2001,11.11.1980,Taylor
737356,24.04.2017,31.12.2021,08.04.2000,Schulze
782614,10.10.2020,30.09.2024,12.01.2001,Peters
211284,18.07.2011,16.04.2018,06.03.1994,Bauer
392231,09.11.2016,06.06.2019,01.02.2000,Zimmermann
2112792,09.02.2019,21.11.2021,10.01.1999,Kinas
937858,18.06.2020,12.12.2023,01.09.1995,Lange
960236,11.05.2010,14.10.2013,04.04.1992,Schmitz
4453697,06.12.2022,21.11.2024,29.01.2006,Osadnik
207803,08.07.2021,04.04.2024,27.07.2014,Jaeger
781503,29.01.2017,16.02.2020,05.11.1994,Weiss
3201859,18.05.2004,27.02.2006,09.01.1992,Jung
6092874,31.05.2019,08.10.2024,19.05.2002,Keller
4054873,24.06.2014,10.06.2017,08.04.1997,Vogel
419028,22.03.2021,15.11.2024,02.06.1997,Baumann
2072483,10.10.2015,07.04.2018,30.03.1992,Kraus
333139,19.10.2021,10.08.2024,23.12.1999,Schuster
3401855,23.03.2023,25.12.2024,03.05.2003,Wolff
